gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,atq,costat
001078,2019-09-30,2019,3,INDL,C,D,STD,ABT,USD,2019Q3,2019Q3,68539.0000,A
001078,2019-12-31,2019,4,INDL,C,D,STD,ABT,USD,2019Q4,2019Q4,67887.0000,A
001078,2020-03-31,2020,1,INDL,C,D,STD,ABT,USD,2020Q1,2020Q1,66777.0000,A
001078,2020-06-30,2020,2,INDL,C,D,STD,ABT,USD,2020Q2,2020Q2,68776.0000,A
001078,2020-09-30,2020,3,INDL,C,D,STD,ABT,USD,2020Q3,2020Q3,69043.0000,A
001078,2020-12-31,2020,4,INDL,C,D,STD,ABT,USD,2020Q4,2020Q4,72548.0000,A
001078,2021-03-31,2021,1,INDL,C,D,STD,ABT,USD,2021Q1,2021Q1,72785.0000,A
001078,2021-06-30,2021,2,INDL,C,D,STD,ABT,USD,2021Q2,2021Q2,73269.0000,A
001078,2021-09-30,2021,3,INDL,C,D,STD,ABT,USD,2021Q3,2021Q3,73795.0000,A
001078,2021-12-31,2021,4,INDL,C,D,STD,ABT,USD,2021Q4,2021Q4,75196.0000,A
001078,2022-03-31,2022,1,INDL,C,D,STD,ABT,USD,2022Q1,2022Q1,74007.0000,A
001078,2022-06-30,2022,2,INDL,C,D,STD,ABT,USD,2022Q2,2022Q2,74202.0000,A
001078,2022-09-30,2022,3,INDL,C,D,STD,ABT,USD,2022Q3,2022Q3,72801.0000,A
001078,2022-12-31,2022,4,INDL,C,D,STD,ABT,USD,2022Q4,2022Q4,74438.0000,A
001078,2023-03-31,2023,1,INDL,C,D,STD,ABT,USD,2023Q1,2023Q1,73794.0000,A
001078,2023-06-30,2023,2,INDL,C,D,STD,ABT,USD,2023Q2,2023Q2,73354.0000,A
001078,2023-09-30,2023,3,INDL,C,D,STD,ABT,USD,2023Q3,2023Q3,72090.0000,A
001161,2010-03-31,2010,1,INDL,C,D,STD,AMD,USD,2010Q1,2010Q1,5232.0000,A
001161,2010-06-30,2010,2,INDL,C,D,STD,AMD,USD,2010Q2,2010Q2,4955.0000,A
001161,2010-09-30,2010,3,INDL,C,D,STD,AMD,USD,2010Q3,2010Q3,4595.0000,A
001161,2010-12-31,2010,4,INDL,C,D,STD,AMD,USD,2010Q4,2010Q4,4964.0000,A
001161,2011-03-31,2011,1,INDL,C,D,STD,AMD,USD,2011Q1,2011Q1,5209.0000,A
001161,2011-06-30,2011,2,INDL,C,D,STD,AMD,USD,2011Q2,2011Q2,5224.0000,A
001161,2011-09-30,2011,3,INDL,C,D,STD,AMD,USD,2011Q3,2011Q3,5236.0000,A
001161,2011-12-31,2011,4,INDL,C,D,STD,AMD,USD,2011Q4,2011Q4,4954.0000,A
001161,2012-03-31,2012,1,INDL,C,D,STD,AMD,USD,2012Q1,2012Q1,4988.0000,A
001161,2012-06-30,2012,2,INDL,C,D,STD,AMD,USD,2012Q2,2012Q2,5041.0000,A
001161,2012-09-30,2012,3,INDL,C,D,STD,AMD,USD,2012Q3,2012Q3,4612.0000,A
001161,2012-12-31,2012,4,INDL,C,D,STD,AMD,USD,2012Q4,2012Q4,4000.0000,A
001161,2013-03-31,2013,1,INDL,C,D,STD,AMD,USD,2013Q1,2013Q1,3797.0000,A
001161,2013-06-30,2013,2,INDL,C,D,STD,AMD,USD,2013Q2,2013Q2,3897.0000,A
001161,2013-09-30,2013,3,INDL,C,D,STD,AMD,USD,2013Q3,2013Q3,4317.0000,A
001161,2013-12-31,2013,4,INDL,C,D,STD,AMD,USD,2013Q4,2013Q4,4337.0000,A
001161,2014-03-31,2014,1,INDL,C,D,STD,AMD,USD,2014Q1,2014Q1,4108.0000,A
001161,2014-06-30,2014,2,INDL,C,D,STD,AMD,USD,2014Q2,2014Q2,4246.0000,A
001161,2014-09-30,2014,3,INDL,C,D,STD,AMD,USD,2014Q3,2014Q3,4325.0000,A
001161,2014-12-31,2014,4,INDL,C,D,STD,AMD,USD,2014Q4,2014Q4,3767.0000,A
001161,2015-03-31,2015,1,INDL,C,D,STD,AMD,USD,2015Q1,2015Q1,3428.0000,A
001161,2015-06-30,2015,2,INDL,C,D,STD,AMD,USD,2015Q2,2015Q2,3381.0000,A
001161,2015-09-30,2015,3,INDL,C,D,STD,AMD,USD,2015Q3,2015Q3,3229.0000,A
001161,2015-12-31,2015,4,INDL,C,D,STD,AMD,USD,2015Q4,2015Q4,3109.0000,A
001161,2016-03-31,2016,1,INDL,C,D,STD,AMD,USD,2016Q1,2016Q1,2981.0000,A
001161,2016-06-30,2016,2,INDL,C,D,STD,AMD,USD,2016Q2,2016Q2,3316.0000,A
001161,2016-09-30,2016,3,INDL,C,D,STD,AMD,USD,2016Q3,2016Q3,3616.0000,A
